file,campaign,episode,actor,word_count,vocabulary,anger_norm,anticipation_norm,disgust_norm,fear_norm,joy_norm,sadness_norm,surprise_norm,trust_norm,matt_cnt,marisha_cnt,travis_cnt,laura_cnt,sam_cnt,liam_cnt,ashley_cnt,taliesin_cnt,orion_cnt
C1E008_FINAL_SAM_treated.txt,C1,8,SAM,1527,349,0.11973584905660378,0.1342566037735849,0.031781132075471695,0.11382641509433965,0.2390113207547169,0.06390943396226414,0.03686037735849056,0.2606188679245284,1,0,4,0,1,1,9,0,2
C1E009_FINAL_SAM_treated.txt,C1,9,SAM,1678,434,0.1020454464887093,0.14857669538090676,0.06329185720869228,0.11726753872877452,0.1846715587223936,0.08754652770392429,0.047311141834166404,0.24928923393243296,0,1,4,0,7,3,4,1,0
C1E010_FINAL_SAM_treated.txt,C1,10,SAM,2691,610,0.09623710314169129,0.1659589291046014,0.050476064094482964,0.11944315429784694,0.21244567561291178,0.08011810370566963,0.06260574594433202,0.212715224098464,4,3,5,0,9,2,9,0,0
C1E011_FINAL_SAM_treated.txt,C1,11,SAM,3029,562,0.13343902345130731,0.11448829534438532,0.04462432762536703,0.18303638609789982,0.15113336902999577,0.11374986438767976,0.08602895629258668,0.17349977777077838,2,3,10,2,1,5,8,1,0
C1E012_FINAL_SAM_treated.txt,C1,12,SAM,220,109,0.07818663708086786,0.10829635108481264,0.07895710059171598,0.1322423570019724,0.26470044378698226,0.03929363905325444,0.0669378698224852,0.23138560157790927,0,0,0,0,7,0,1,0,0
C1E013_FINAL_SAM_treated.txt,C1,13,SAM,1702,437,0.07939477663080721,0.13472311357184036,0.06191465523805379,0.16541938150609678,0.18785963690948837,0.09414464882033653,0.07320004786094222,0.20334373946243461,2,1,4,0,8,0,5,0,2
C1E014_FINAL_SAM_treated.txt,C1,14,SAM,221,109,0.07818663708086786,0.10829635108481264,0.07895710059171598,0.1322423570019724,0.26470044378698226,0.03929363905325444,0.0669378698224852,0.23138560157790927,0,0,0,0,7,0,1,0,0
C1E015-FINAL_SAM_treated.txt,C1,Others,SAM,2444,608,0.06186687920338089,0.16767277217736976,0.038660034734009315,0.11714118440019874,0.2072331360480963,0.10383796043471628,0.06215222942157544,0.24143580358065325,2,0,4,3,11,4,3,0,1
C1E015_FINAL_SAM_treated.txt,C1,15,SAM,2224,528,0.05876670706219156,0.1789521752111984,0.03100502895012617,0.11427250001463607,0.19631639648500393,0.11609908027000604,0.06124312836995276,0.2433449836368852,2,0,4,3,4,4,2,0,1
C1E016_FINAL_SAM_treated.txt,C1,16,SAM,1302,342,0.07299459539635304,0.17858367865320615,0.03222367457426,0.10206635703757265,0.2316656005784687,0.07612796766508144,0.060702134957495525,0.24563599113756251,1,3,5,1,2,1,5,0,1
